Date,State,Branch,Staffs,Sales,Expenses,Staff_daily,Profit,,,,,,
08/04/2015,Osun,Branch B,21,892563,694757,105000,92806,,,,,,
09/04/2015,Osun,Branch B,16,1292647,467344,80000,745303,,,,,,
10/04/2015,Lagos,Branch B,15,1201435,366539,75000,759896,,,,,,
11/04/2015,Lagos,Branch C,11,729010,529681,55000,144329,,,,,,
12/04/2015,Kwara,Branch A,17,779381,698746,85000,-4365,,,,,,
13/04/2015,Osun,Branch A,15,984608,760688,75000,148920,,,,,,
14/04/2015,Kwara,Branch A,11,600654,488546,55000,57108,,,,,,
15/04/2015,Osun,Branch D,15,802153,410156,75000,316997,,,,,,
16/04/2015,Kwara,Branch A,19,977228,604338,95000,277890,,,,,,
17/04/2015,Osun,Branch C,10,1098197,441196,50000,607001,,,,,,
18/04/2015,Lagos,Branch A,20,990235,669684,100000,220551,,,,,,
19/04/2015,Osun,Branch D,10,1118189,394159,50000,674030,,,,,,
20/04/2015,Lagos,Branch D,10,739375,796957,50000,-107582,,,,,,
21/04/2015,Kwara,Branch C,12,1300514,662519,60000,577995,,,,,,
22/04/2015,Lagos,Branch B,21,799153,451248,105000,242905,,,,,,
23/04/2015,Kwara,Branch D,16,1262319,337644,80000,844675,,,,,,
24/04/2015,Osun,Branch A,19,662218,309472,95000,257746,,,,,,
25/04/2015,Kwara,Branch C,19,1062294,789176,95000,178118,,,,,,
26/04/2015,Osun,Branch A,12,1309372,585051,60000,664321,,,,,,
27/04/2015,Kwara,Branch C,15,1346630,416969,75000,854661,,,,,,
28/04/2015,Kwara,Branch C,14,877858,661002,70000,146856,,,,,,
29/04/2015,Kwara,Branch C,21,1022861,495067,105000,422794,,,,,,
30/04/2015,Osun,Branch C,20,1185307,529415,100000,555892,,,,,,
01/05/2015,Lagos,Branch B,10,630260,408208,50000,172052,,,,,,
02/05/2015,Lagos,Branch A,20,658814,333566,100000,225248,,,,,,
03/05/2015,Osun,Branch A,14,1386712,338989,70000,977723,,,,,,
04/05/2015,Kwara,Branch D,21,1069136,565949,105000,398187,,,,,,
05/05/2015,Kwara,Branch C,17,1307795,509701,85000,713094,,,,,,
06/05/2015,Kwara,Branch B,15,897148,338044,75000,484104,,,,,,
07/05/2015,Osun,Branch D,19,719104,459083,95000,165021,,,,,,
08/05/2015,Osun,Branch B,21,922040,669404,105000,147636,,,,,,
09/05/2015,Kwara,Branch C,16,1397204,520520,80000,796684,,,,,,
10/05/2015,Kwara,Branch C,11,985932,680320,55000,250612,,,,,,
11/05/2015,Lagos,Branch C,12,656979,664304,60000,-67325,,,,,,
12/05/2015,Lagos,Branch B,14,727861,594511,70000,63350,,,,,,
13/05/2015,Osun,Branch C,11,703078,652211,55000,-4133,,,,,,
14/05/2015,Osun,Branch A,11,1087388,628684,55000,403704,,,,,,
15/05/2015,Kwara,Branch B,18,1116599,544075,90000,482524,,,,,,
16/05/2015,Kwara,Branch A,13,1181393,493853,65000,622540,,,,,,
17/05/2015,Lagos,Branch A,15,1069821,307574,75000,687247,,,,,,
18/05/2015,Osun,Branch A,10,753179,550586,50000,152593,,,,,,
19/05/2015,Kwara,Branch C,17,1252752,513766,85000,653986,,,,,,
20/05/2015,Kwara,Branch A,19,866548,541527,95000,230021,,,,,,
21/05/2015,Osun,Branch B,21,1358126,386868,105000,866258,,,,,,
22/05/2015,Osun,Branch B,15,740973,326972,75000,339001,,,,,,
23/05/2015,Kwara,Branch A,18,1346673,622440,90000,634233,,,,,,
24/05/2015,Kwara,Branch A,20,1071423,787676,100000,183747,,,,,,
25/05/2015,Osun,Branch A,13,1082609,729822,65000,287787,,,,,,
26/05/2015,Lagos,Branch B,21,974683,415584,105000,454099,,,,,,
27/05/2015,Lagos,Branch A,12,1293996,577582,60000,656414,,,,,,
28/05/2015,Kwara,Branch B,20,1249716,327197,100000,822519,,,,,,
29/05/2015,Kwara,Branch C,15,918141,329734,75000,513407,,,,,,
30/05/2015,Kwara,Branch C,12,834575,745379,60000,29196,,,,,,
31/05/2015,Kwara,Branch B,10,820998,566628,50000,204370,,,,,,
01/06/2015,Lagos,Branch D,10,1028383,525111,50000,453272,,,,,,
02/06/2015,Kwara,Branch B,19,1387184,628848,95000,663336,,,,,,
03/06/2015,Lagos,Branch C,10,1178250,453432,50000,674818,,,,,,
04/06/2015,Osun,Branch A,13,1376344,770490,65000,540854,,,,,,
05/06/2015,Osun,Branch D,10,1042431,797045,50000,195386,,,,,,
06/06/2015,Kwara,Branch D,21,970532,558110,105000,307422,,,,,,
07/06/2015,Kwara,Branch A,10,779101,747413,50000,-18312,,,,,,
08/06/2015,Lagos,Branch C,19,1246586,496099,95000,655487,,,,,,
09/06/2015,Osun,Branch C,18,1198685,589119,90000,519566,,,,,,
10/06/2015,Osun,Branch A,13,1362719,354464,65000,943255,,,,,,
11/06/2015,Lagos,Branch D,20,670131,585877,100000,-15746,,,,,,
12/06/2015,Osun,Branch B,11,933189,698669,55000,179520,,,,,,
13/06/2015,Osun,Branch B,19,833472,482250,95000,256222,,,,,,
14/06/2015,Osun,Branch D,16,914810,405527,80000,429283,,,,,,
15/06/2015,Osun,Branch A,15,811921,731932,75000,4989,,,,,,
16/06/2015,Lagos,Branch D,19,1084328,755725,95000,233603,,,,,,
17/06/2015,Osun,Branch A,21,851542,754700,105000,-8158,,,,,,
18/06/2015,Kwara,Branch D,21,708335,761404,105000,-158069,,,,,,
19/06/2015,Osun,Branch B,11,860029,440569,55000,364460,,,,,,
20/06/2015,Lagos,Branch D,10,624274,644007,50000,-69733,,,,,,
21/06/2015,Lagos,Branch B,12,1108924,708388,60000,340536,,,,,,
22/06/2015,Osun,Branch A,19,1341867,399509,95000,847358,,,,,,
23/06/2015,Kwara,Branch A,11,1120872,585548,55000,480324,,,,,,
24/06/2015,Osun,Branch B,14,853105,730384,70000,52721,,,,,,
25/06/2015,Osun,Branch B,10,819034,377674,50000,391360,,,,,,
26/06/2015,Kwara,Branch D,13,775753,774760,65000,-64007,,,,,,
27/06/2015,Kwara,Branch A,17,1375001,693735,85000,596266,,,,,,
28/06/2015,Osun,Branch D,14,1085740,708013,70000,307727,,,,,,
29/06/2015,Lagos,Branch D,12,1066733,353540,60000,653193,,,,,,
30/06/2015,Osun,Branch C,19,1305290,744397,95000,465893,,,,,,
01/01/2015,Lagos,Branch C,19,768575,496405,95000,177170,,,,,,
02/01/2015,Lagos,Branch A,15,1360253,435225,75000,850028,,,,,,
03/01/2015,Osun,Branch B,20,1236101,388756,100000,747345,,,,,,
04/01/2015,Osun,Branch C,15,1338022,440254,75000,822768,,,,,,
05/01/2015,Osun,Branch A,17,689628,714855,85000,-110227,,,,,,
06/01/2015,Lagos,Branch B,11,706928,317339,55000,334589,,,,,,
07/01/2015,Osun,Branch A,18,1019912,493686,90000,436226,,,,,,
08/01/2015,Osun,Branch D,18,1264540,629399,90000,545141,,,,,,
09/01/2015,Lagos,Branch A,15,931437,799187,75000,57250,,,,,,
10/01/2015,Kwara,Branch C,18,704438,597348,90000,17090,,,,,,
11/01/2015,Osun,Branch D,17,1274589,549602,85000,639987,,,,,,
12/01/2015,Osun,Branch A,18,1350458,712332,90000,548126,,,,,,
13/01/2015,Kwara,Branch C,11,1377902,329901,55000,993001,,,,,,
14/01/2015,Kwara,Branch A,15,780385,399605,75000,305780,,,,,,
15/01/2015,Osun,Branch C,20,1020886,727286,100000,193600,,,,,,
16/01/2015,Kwara,Branch C,14,976784,358786,70000,547998,,,,,,
17/01/2015,Kwara,Branch B,15,658516,622324,75000,-38808,,,,,,
18/01/2015,Kwara,Branch D,21,1087750,435611,105000,547139,,,,,,
19/01/2015,Osun,Branch A,10,1117767,650467,50000,417300,,,,,,
20/01/2015,Osun,Branch C,19,809101,658917,95000,55184,,,,,,
21/01/2015,Osun,Branch D,19,1136552,470098,95000,571454,,,,,,
22/01/2015,Kwara,Branch A,18,710538,582549,90000,37989,,,,,,
23/01/2015,Osun,Branch C,21,1353465,672417,105000,576048,,,,,,
24/01/2015,Lagos,Branch A,14,1025351,702120,70000,253231,,,,,,
25/01/2015,Osun,Branch A,14,1298055,518789,70000,709266,,,,,,
26/01/2015,Lagos,Branch B,16,1059490,680172,80000,299318,,,,,,
27/01/2015,Kwara,Branch D,14,938378,589228,70000,279150,,,,,,
28/01/2015,Osun,Branch B,11,652316,401207,55000,196109,,,,,,
29/01/2015,Lagos,Branch C,13,626776,634656,65000,-72880,,,,,,
30/01/2015,Lagos,Branch B,13,888702,399275,65000,424427,,,,,,
31/01/2015,Kwara,Branch B,18,744963,506143,90000,148820,,,,,,
01/02/2015,Kwara,Branch D,21,1070765,599688,105000,366077,,,,,,
02/02/2015,Lagos,Branch C,12,1140017,449265,60000,630752,,,,,,
03/02/2015,Lagos,Branch B,17,843978,594506,85000,164472,,,,,,
04/02/2015,Kwara,Branch C,11,997621,623330,55000,319291,,,,,,
05/02/2015,Kwara,Branch A,11,696029,417755,55000,223274,,,,,,
06/02/2015,Lagos,Branch D,20,1161559,640814,100000,420745,,,,,,
07/02/2015,Osun,Branch A,16,1127767,602288,80000,445479,,,,,,
08/02/2015,Kwara,Branch B,20,1355000,633714,100000,621286,,,,,,
09/02/2015,Lagos,Branch B,19,683983,313806,95000,275177,,,,,,
10/02/2015,Lagos,Branch D,11,685328,345014,55000,285314,,,,,,
11/02/2015,Osun,Branch B,12,1108228,314868,60000,733360,,,,,,
12/02/2015,Kwara,Branch B,21,1193991,533812,105000,555179,,,,,,
13/02/2015,Osun,Branch C,15,1143768,429994,75000,638774,,,,,,
14/02/2015,Osun,Branch D,14,1192975,727808,70000,395167,,,,,,
15/02/2015,Osun,Branch B,15,1228211,779846,75000,373365,,,,,,
16/02/2015,Kwara,Branch D,21,736889,628019,105000,3870,,,,,,
17/02/2015,Lagos,Branch D,21,928978,679214,105000,144764,,,,,,
18/02/2015,Kwara,Branch D,21,1353153,302835,105000,945318,,,,,,
19/02/2015,Lagos,Branch B,13,700463,452150,65000,183313,,,,,,
20/02/2015,Osun,Branch D,13,1193209,758805,65000,369404,,,,,,
21/02/2015,Osun,Branch A,11,1118564,607852,55000,455712,,,,,,
22/02/2015,Lagos,Branch C,16,766085,551456,80000,134629,,,,,,
23/02/2015,Lagos,Branch C,15,884387,339920,75000,469467,,,,,,
24/02/2015,Kwara,Branch C,21,1210773,677361,105000,428412,,,,,,
25/02/2015,Kwara,Branch B,13,1287901,451603,65000,771298,,,,,,
26/02/2015,Osun,Branch D,16,872812,748945,80000,43867,,,,,,
27/02/2015,Kwara,Branch B,18,1248446,567741,90000,590705,,,,,,
28/02/2015,Kwara,Branch B,14,1209951,342215,70000,797736,,,,,,
01/03/2015,Osun,Branch B,19,841729,764773,95000,-18044,,,,,,
02/03/2015,Kwara,Branch B,20,929998,544585,100000,285413,,,,,,
03/03/2015,Lagos,Branch B,10,1227326,607080,50000,570246,,,,,,
04/03/2015,Osun,Branch B,12,694523,374905,60000,259618,,,,,,
05/03/2015,Kwara,Branch B,14,1068182,595443,70000,402739,,,,,,
06/03/2015,Osun,Branch A,11,691822,731526,55000,-94704,,,,,,
07/03/2015,Kwara,Branch B,13,1081609,619575,65000,397034,,,,,,
08/03/2015,Kwara,Branch B,18,1254361,499940,90000,664421,,,,,,
09/03/2015,Osun,Branch B,21,798145,448517,105000,244628,,,,,,
10/03/2015,Kwara,Branch C,21,609429,700207,105000,-195778,,,,,,
11/03/2015,Kwara,Branch B,10,1293246,514426,50000,728820,,,,,,
12/03/2015,Lagos,Branch D,21,1158966,315343,105000,738623,,,,,,
13/03/2015,Osun,Branch C,17,1305152,437327,85000,782825,,,,,,
14/03/2015,Osun,Branch A,19,954207,575562,95000,283645,,,,,,
15/03/2015,Kwara,Branch D,16,789571,716285,80000,-6714,,,,,,
16/03/2015,Lagos,Branch B,16,783204,740554,80000,-37350,,,,,,
17/03/2015,Osun,Branch D,11,684190,391961,55000,237229,,,,,,
18/03/2015,Lagos,Branch B,21,1271772,466610,105000,700162,,,,,,
19/03/2015,Lagos,Branch C,12,982719,618937,60000,303782,,,,,,
20/03/2015,Osun,Branch B,14,1393462,448737,70000,874725,,,,,,
21/03/2015,Lagos,Branch D,11,1118185,579890,55000,483295,,,,,,
22/03/2015,Kwara,Branch B,12,602045,680076,60000,-138031,,,,,,
23/03/2015,Lagos,Branch C,11,1241171,566247,55000,619924,,,,,,
24/03/2015,Kwara,Branch A,17,630147,739338,85000,-194191,,,,,,
25/03/2015,Kwara,Branch D,13,1368892,689144,65000,614748,,,,,,
26/03/2015,Lagos,Branch D,12,1157637,485350,60000,612287,,,,,,
27/03/2015,Osun,Branch A,15,1033382,511090,75000,447292,,,,,,
28/03/2015,Osun,Branch B,19,1172739,492104,95000,585635,,,,,,
29/03/2015,Kwara,Branch C,13,743687,774623,65000,-95936,,,,,,
30/03/2015,Kwara,Branch C,13,1228504,717774,65000,445730,,,,,,
31/03/2015,Kwara,Branch A,17,1396264,642434,85000,668830,,,,,,
01/04/2015,Osun,Branch A,13,740817,546210,65000,129607,,,,,,
02/04/2015,Osun,Branch C,17,628756,592664,85000,-48908,,,,,,
03/04/2015,Kwara,Branch B,10,907163,438129,50000,419034,,,,,,
04/04/2015,Kwara,Branch A,15,798044,687618,75000,35426,,,,,,
05/04/2015,Lagos,Branch B,15,1223647,451809,75000,696838,,,,,,
06/04/2015,Lagos,Branch C,11,963461,647755,55000,260706,,,,,,
07/04/2015,Lagos,Branch C,20,670227,465071,100000,105156,,,,,,
08/04/2015,Kwara,Branch C,17,1161483,324471,85000,752012,,,,,,
09/04/2015,Osun,Branch A,21,1264588,707352,105000,452236,,,,,,
10/04/2015,Kwara,Branch B,15,1025980,323539,75000,627441,,,,,,
11/04/2015,Lagos,Branch A,15,609765,640850,75000,-106085,,,,,,
12/04/2015,Osun,Branch B,10,779459,472973,50000,256486,,,,,,
13/04/2015,Lagos,Branch A,21,1001359,758344,105000,138015,,,,,,
14/04/2015,Kwara,Branch D,18,793764,704194,90000,-430,,,,,,
15/04/2015,Lagos,Branch A,17,948316,665044,85000,198272,,,,,,
16/04/2015,Lagos,Branch D,19,1143829,787981,95000,260848,,,,,,
17/04/2015,Osun,Branch D,13,1334079,449944,65000,819135,,,,,,
18/04/2015,Osun,Branch A,18,1197565,317640,90000,789925,,,,,,
19/04/2015,Lagos,Branch C,11,1393931,759651,55000,579280,,,,,,
20/04/2015,Osun,Branch D,15,1004247,677378,75000,251869,,,,,,
21/04/2015,Osun,Branch C,13,1382887,361475,65000,956412,,,,,,
22/04/2015,Lagos,Branch C,21,1387843,604846,105000,677997,,,,,,
23/04/2015,Lagos,Branch D,19,972566,693018,95000,184548,,,,,,
24/04/2015,Kwara,Branch D,16,875018,621346,80000,173672,,,,,,
25/04/2015,Kwara,Branch C,15,764593,591735,75000,97858,,,,,,
26/04/2015,Osun,Branch A,21,887494,418479,105000,364015,,,,,,
27/04/2015,Lagos,Branch B,17,1218838,302015,85000,831823,,,,,,
28/04/2015,Lagos,Branch B,19,1242299,525155,95000,622144,,,,,,
29/04/2015,Kwara,Branch B,13,1360579,634127,65000,661452,,,,,,
30/04/2015,Osun,Branch C,20,1250133,572566,100000,577567,,,,,,
01/05/2015,Osun,Branch C,17,789251,414581,85000,289670,,,,,,
02/05/2015,Osun,Branch A,15,707320,704835,75000,-72515,,,,,,
03/05/2015,Lagos,Branch B,18,1093935,543564,90000,460371,,,,,,
04/05/2015,Kwara,Branch B,11,692814,380579,55000,257235,,,,,,
05/05/2015,Osun,Branch C,11,609094,609170,55000,-55076,,,,,,
06/05/2015,Osun,Branch B,17,1205870,765842,85000,355028,,,,,,
07/05/2015,Osun,Branch C,16,779139,737256,80000,-38117,,,,,,
08/05/2015,Osun,Branch A,12,1043993,335434,60000,648559,,,,,,
09/05/2015,Osun,Branch D,21,1370608,451198,105000,814410,,,,,,
10/05/2015,Lagos,Branch D,15,996202,581534,75000,339668,,,,,,
11/05/2015,Lagos,Branch D,17,1126241,722015,85000,319226,,,,,,
12/05/2015,Lagos,Branch C,12,1138945,472282,60000,606663,,,,,,
13/05/2015,Osun,Branch B,21,903740,790597,105000,8143,,,,,,
14/05/2015,Lagos,Branch C,17,681975,483329,85000,113646,,,,,,
15/05/2015,Lagos,Branch A,10,1283719,326025,50000,907694,,,,,,
16/05/2015,Lagos,Branch D,13,751060,301876,65000,384184,,,,,,
17/05/2015,Osun,Branch B,21,1010631,453293,105000,452338,,,,,,
18/05/2015,Lagos,Branch C,19,1045458,674704,95000,275754,,,,,,
19/05/2015,Kwara,Branch D,14,752340,350111,70000,332229,,,,,,
20/05/2015,Lagos,Branch C,18,1380881,793861,90000,497020,,,,,,
21/05/2015,Kwara,Branch A,15,1361799,469158,75000,817641,,,,,,
22/05/2015,Osun,Branch C,18,905465,536068,90000,279397,,,,,,
23/05/2015,Osun,Branch C,20,1151004,595430,100000,455574,,,,,,
24/05/2015,Kwara,Branch D,12,606946,458675,60000,88271,,,,,,
25/05/2015,Kwara,Branch A,11,782895,752107,55000,-24212,,,,,,
26/05/2015,Lagos,Branch A,17,1162400,660834,85000,416566,,,,,,
27/05/2015,Lagos,Branch D,18,978702,477265,90000,411437,,,,,,
28/05/2015,Lagos,Branch B,15,1051744,306819,75000,669925,,,,,,
29/05/2015,Kwara,Branch C,19,619561,585887,95000,-61326,,,,,,
30/05/2015,Osun,Branch D,21,1327549,776354,105000,446195,,,,,,
31/05/2015,Kwara,Branch B,18,1191775,466004,90000,635771,,,,,,
01/06/2015,Lagos,Branch B,10,1172216,436008,50000,686208,,,,,,
02/06/2015,Lagos,Branch A,20,885785,784289,100000,1496,,,,,,
03/06/2015,Lagos,Branch D,12,1305982,392736,60000,853246,,,,,,
04/06/2015,Kwara,Branch D,20,1087906,365368,100000,622538,,,,,,
05/06/2015,Osun,Branch B,10,857237,770629,50000,36608,,,,,,
06/06/2015,Kwara,Branch A,17,822306,490248,85000,247058,,,,,,
07/06/2015,Lagos,Branch D,10,1393023,453498,50000,889525,,,,,,
08/06/2015,Kwara,Branch A,16,800755,623946,80000,96809,,,,,,
09/06/2015,Osun,Branch D,20,935239,470138,100000,365101,,,,,,
10/06/2015,Osun,Branch D,12,747775,550951,60000,136824,,,,,,
11/06/2015,Kwara,Branch D,20,1388477,767440,100000,521037,,,,,,
12/06/2015,Osun,Branch B,14,658702,767012,70000,-178310,,,,,,
13/06/2015,Lagos,Branch A,19,1218749,436861,95000,686888,,,,,,
14/06/2015,Kwara,Branch B,20,1012358,723333,100000,189025,,,,,,
15/06/2015,Kwara,Branch D,17,952195,486001,85000,381194,,,,,,
16/06/2015,Osun,Branch A,15,1195637,740256,75000,380381,,,,,,
17/06/2015,Lagos,Branch A,19,1144151,670948,95000,378203,,,,,,
18/06/2015,Lagos,Branch D,16,810016,547440,80000,182576,,,,,,
19/06/2015,Lagos,Branch D,10,1055733,555962,50000,449771,,,,,,
20/06/2015,Osun,Branch D,21,691453,584572,105000,1881,,,,,,
21/06/2015,Kwara,Branch A,11,613062,380255,55000,177807,,,,,,
22/06/2015,Osun,Branch C,21,1345558,764896,105000,475662,,,,,,
23/06/2015,Kwara,Branch D,20,1177246,632522,100000,444724,,,,,,
24/06/2015,Osun,Branch C,15,997222,621350,75000,300872,,,,,,
25/06/2015,Kwara,Branch C,12,1375736,469784,60000,845952,,,,,,
26/06/2015,Lagos,Branch C,10,629250,680358,50000,-101108,,,,,,
27/06/2015,Lagos,Branch B,16,944814,775414,80000,89400,,,,,,
28/06/2015,Kwara,Branch D,16,971756,711939,80000,179817,,,,,,
29/06/2015,Kwara,Branch C,17,874672,413961,85000,375711,,,,,,
30/06/2015,Lagos,Branch D,13,1081297,643569,65000,372728,,,,,,
01/01/2015,Osun,Branch D,19,1070505,781955,95000,193550,,,,,,
02/01/2015,Kwara,Branch B,20,639285,517512,100000,21773,,,,,,
03/01/2015,Lagos,Branch D,16,1196402,638744,80000,477658,,,,,,
04/01/2015,Kwara,Branch D,11,692545,513270,55000,124275,,,,,,
05/01/2015,Lagos,Branch B,11,805011,381627,55000,368384,,,,,,
06/01/2015,Kwara,Branch C,19,1309968,726339,95000,488629,,,,,,
07/01/2015,Lagos,Branch C,16,1098531,338380,80000,680151,,,,,,
08/01/2015,Lagos,Branch D,14,1250192,369039,70000,811153,,,,,,
09/01/2015,Lagos,Branch D,20,626801,692277,100000,-165476,,,,,,
10/01/2015,Osun,Branch B,21,1398231,419008,105000,874223,,,,,,
11/01/2015,Osun,Branch B,11,658424,659967,55000,-56543,,,,,,
